,budget,director,genres,id,keywords,overview,popularity,poster_path,releaseyear,revenue,runtime,title
2719,0.0,Esmé Lammers,"[{u'id': 28, u'name': u'Action'}, {u'id': 35, u'name': u'Comedy'}]",24143,['bank robber'],Four women are sick of being poor. They decide to rob a bank. They are surprised how easily they get away with it and start to commit more robberies. When the net finally closes around them they decide to make one last big hit.,0.099059,/whKVANL6s32Sp4nbxmk3JjVITK7.jpg,2004,0.0,100.0,Amazones
2720,0.0,Douglas McCarthy,"[{u'id': 16, u'name': u'Animation'}, {u'id': 10751, u'name': u'Family'}, {u'id': 35, u'name': u'Comedy'}]",15653,"['skateboarding', 'father son relationship', 'college', 'sport', 'duringcreditsstinger', 'father son conflict']","It's all extreme sports and a life of freedom as Max sets off for college -- but Goofy misses Max so much he loses his job and goes to finish college alongside Max and his friends. But as Goofy tries to get closer to Max, both must go to the extreme to learn how to live their own lives together.",1.571705,/kHV9ABnZtDeDtSQfTNIveSoxS9m.jpg,2000,0.0,79.0,An Extremely Goofy Movie
2721,1000000.0,Billy Bob Thornton,"[{u'id': 18, u'name': u'Drama'}]",12498,"['independent film', 'repair shop', 'southern', 'death threat', 'story', 'religious art', 'father figure']","Karl Childers is a mentally disabled man who has been in the custody of the state mental hospital since the age of 12 for killing his mother and her lover. Although thoroughly institutionalized, Karl is deemed fit to be released into the outside world.",0.795055,/tUQRe2VQWdiIdSjpD28w7Rm8Ccb.jpg,1996,24475416.0,135.0,Sling Blade
2722,0.0,Bob Rafelson,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 14, u'name': u'Fantasy'}]",18193,"['vietnam war', 'surreal', 'musical', 'parody', 'rock musical', 'psychedelic', 'abstract']","The Monkees are tossed about in a psychedelic, surrealist, plotless, circular bit of fun fluff.",0.346036,/v5HOA7aHMlYlQEghlzyEP581sfB.jpg,1968,0.0,86.0,Head
2723,0.0,Michel Negroponte,"[{u'id': 99, u'name': u'Documentary'}]",25366,,"Shot over the course of 18 months in New York City's Lower East Side, METHADONIA sheds light on the inherent flaws of legal methadone treatments for heroin addiction by profiling eight addicts, in various stages of recovery and relapse, who attend the New York Center for Addiction Treatment Services (NYCATS).",0.000664,/t9YhVsYCObdLtx3HEu1GpuiEmVw.jpg,2005,0.0,87.0,Methadonia
2724,0.0,Patrick Lussier,"[{u'id': 27, u'name': u'Horror'}]",10578,"['dracula', 'student of medicine']","Sequel to Dracula 2000. Father Uffizi [Jason Scott Lee] hunts vampires. He travels the world to behead them with his bullwhip, but his ultimate goal is to find the first vampire, Dracula (revealed as Judas Iscariot in Dracula 2000), absolve Dracula's sins against Jesus, set his soul free, and end his unholy existence. So, when Dracula's charred body turns up in the New Orleans morgue, Uffizi heads there. Medical students, Liz Blaine [Diane Neal] and Luke [Jason London] are charged with autopsying the body. When they open the abdominal cavity, they find that the liver and other organs are white, suggesting to Luke that the person did not produce his own blood but got it elsewhere, i.e., a vampire.",0.161603,/619eRkHMnsMuQg3RpBtQlKwtARi.jpg,2003,0.0,85.0,Dracula II: Ascension
2725,0.0,Giacomo Cimini,"[{u'id': 27, u'name': u'Horror'}, {u'id': 18, u'name': u'Drama'}, {u'id': 53, u'name': u'Thriller'}]",27728,,"A retelling of the classic tale, with Red as a psychotic vigilante.",0.00641,/a1OSDG1XR3IfGiqhbrQjLg89x6X.jpg,2003,0.0,92.0,Red Riding Hood
2726,0.0,Herschell Gordon Lewis,"[{u'id': 28, u'name': u'Action'}]",28166,['motorcycle gang'],"An all-female motorcycle gang, called 'The Maneaters' hold motorcycle races, as well as terrorize the residents of a small Florida town, and clash off against an all-male rival gang of hot-riders.",0.002127,/2htR90YpU4RMYWT4wkywrH6FUQ5.jpg,1968,0.0,82.0,She-Devils on Wheels
2727,0.0,Stephanie Beaton,"[{u'id': 27, u'name': u'Horror'}, {u'id': 878, u'name': u'Science Fiction'}]",28234,,No overview found.,0.000532,/l3zr62HgF0M0f1wHiXPyewBQ1cA.jpg,2003,0.0,118.0,Tales from the Grave
2728,0.0,Lili Fini Zanuck,"[{u'id': 80, u'name': u'Crime'}, {u'id': 18, u'name': u'Drama'}]",20289,"['sex', 'texas', 'paranoia', 'assignment', 'investigation', 'addiction', 'love', 'theft', 'drug', 'dealer']","Undercover cop Jim Raynor (Jason Patric) is a seasoned veteran. His partner, Kristen Cates (Jennifer Jason Leigh), is lacking in experience, but he thinks she's tough enough to work his next case with him: a deep cover assignment to bring down the notoriously hard-to-capture drug lord Gaines (Gregg Allman). While their relationship turns romantic during the assignment, they also turn into junkies, and will have to battle their own addictions if they want to bring down Gaines once and for all.",0.719112,/1euLGu3gg3eHmnhBZXAFN2x1pFG.jpg,1991,0.0,120.0,Rush
2729,0.0,Jess Manafort,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}]",20224,"['independent film', 'high school graduation', 'high school senior', 'woman director']","During the summer of 1999, a group of teenagers, through interconnected narratives, live through their last day of high school and prepare for the future. Holly, once the new girl in school, does whatever it takes to remain popular. Dawn, who is secretly a lesbian, battles drugs. Tori is the valedictorian of her class, but, on the eve of graduation, she decides to experiment with drugs for the first time.",0.52375,/4Za0rZZQSbtTjnLIWEIFbSxrOSv.jpg,2007,0.0,101.0,Remember the Daze
2730,0.0,Blake Edwards,"[{u'id': 35, u'name': u'Comedy'}]",27225,"['flop', 'hollywood']","Felix Farmer (Richard Mulligan) latest movie flops - and lots of Hollywood types spring into action. Agents are called. Lawyers are retained. Statements are issued. It's what a master comedy director Blake Edwards calls ""Standard Operating Bull,"" the subject of his gleefully satiric S.O.B.",0.255503,/sEsFSibp82xudFclXnp0hpmcYDu.jpg,1981,0.0,121.0,S.O.B.
2731,2000000.0,James Mottern,"[{u'id': 18, u'name': u'Drama'}]",29406,"['california', 'sex', 'bar', 'motel', 'highway', 'reunion', 'cancer', 'independent film', 'violence', 'anger', 'divorcee', 'drunk', 'trucker', 'americana', 'traffic']","Loner Diane Ford (Michelle Monaghan) is a truck driver with an 11-year-old son, Peter (Jimmy Bennett), whom she never sees, and that's fine with her. But, when Peter's father, Len (Benjamin Bratt), falls ill, he asks Diane to take care of their son for a while. Eventually, Diane reluctantly agrees, but she quickly realizes that caring for a child interferes with her independent lifestyle -- and Peter isn't all that thrilled with the arrangement, either.",0.369091,/A8aoEGKVAwy6GfuePoDom9csPD1.jpg,2008,0.0,90.0,Trucker
