,mR,mG,mB,stdR,stdG,stdB,varR,varG,varB,Dc1,Dc2,Dc3,De1,De2,De3,ID
33,71.5586772334,82.3650432277,89.4410403458,70.9746087096,81.8569825057,90.8232666706,5037.39508148,6700.56558494,8248.86576872,0.0663415361305,0.106231955303,0.00750123547201,18684.3062221,26887.0331945,9163.73542831,17082.0
34,101.282844106,108.235243346,123.13151711,97.8655905265,92.0598420175,98.2090108377,9577.6738091,8475.01451228,9645.00980971,0.324085613619,0.431632567521,0.0231165868139,39464.1150794,48038.6442252,13350.5730963,20630.0
35,180.992906667,150.311549333,123.886821333,74.6607929082,86.5772274043,73.7410293477,5574.23399768,7495.61630501,5437.73940926,0.0434296497271,0.160801269525,0.0773625196076,24835.4513347,43442.0053865,26345.1443534,19274.0
36,104.835954993,85.6843291139,73.68097609,78.8494730933,70.0637456604,67.7262244505,6217.2394071,4908.92845597,4586.84147832,0.126830819576,0.277751776057,0.0719080158488,25612.7502428,37995.1445714,17197.8661467,16377.0
37,151.058464,148.464568,154.533138667,77.78701575,67.9195196138,72.5841513681,6050.81981929,4613.06114457,5268.45902983,0.376815883526,0.850874550394,0.200773437209,39142.6520435,60147.9315771,27646.18773,11360.0
38,91.5040453333,123.544413333,127.437722667,94.0839696705,79.9696657872,80.0527432064,8851.79334897,6395.14744612,6408.44169487,0.150060681312,0.20999627766,0.0174690611116,36144.8697328,41764.3117147,9463.70672623,10762.0
39,130.126653333,126.562986667,116.287357333,69.902823016,74.8372721444,77.2347992321,4886.4046656,5600.61730201,5965.21421243,0.0264489185135,0.0205742857405,0.00440233655759,10847.376964,13239.7450882,7799.71326396,10489.0
40,121.528941333,66.4002613333,60.156464,78.679217144,49.1374119946,37.332402499,6190.4192104,2414.48525753,1393.70827635,0.126500183337,0.144774726695,0.0239654299469,42822.3623706,48708.1708649,9992.53101071,16068.0
41,49.22436,105.419061333,131.115552,69.9464989159,69.9664582754,81.4333865177,4892.51271059,4895.3052836,6631.39643974,0.321583005221,0.67063475493,0.132533570374,48626.5384847,73683.3442713,29381.4234168,21744.0
42,131.220898667,117.430346667,47.2446346667,109.83859315,96.1071391681,60.9364895982,12064.5165451,9236.58219908,3713.25576455,0.00833108527312,0.728296963163,0.643951431747,14421.6318425,84836.6183261,71690.8045847,22074.0
43,183.698410667,179.272312,177.954544,89.6073328168,92.7072962438,94.1004035295,8029.47409454,8594.64277684,8854.88594442,0.00330608985474,0.00675257120361,0.000907820969468,5616.79988962,7914.92766865,2705.31051822,18613.0
44,81.5200586667,83.1666906667,87.803608,91.3456342926,88.3868878561,84.7564051042,8344.02490432,7812.24194489,7183.64820618,0.035614244892,0.0604593003828,0.00977427682427,14830.8847679,19548.6716429,8241.50835709,24341.0
45,82.49582009,71.3693673163,59.9923268366,75.7907363842,66.2335443138,60.3984576728,5744.23572166,4386.88239237,3647.97368925,0.0230418267806,0.0685717659298,0.026285137334,12202.4032879,21383.8663716,11165.0423645,10319.0
46,199.081165333,172.701333333,153.754805333,72.2009162005,84.5938271559,93.1065419949,5212.97230019,7156.11559289,8668.82816224,0.0496906455143,0.137907966666,0.030873361516,23370.4624473,40368.5968421,18551.642461,13065.0
47,97.819112,73.708,45.8030026667,76.2973775141,65.2040581968,37.6196619875,5821.28981553,4251.56920533,1415.23896805,0.0574188896667,0.259145926081,0.186259140964,21872.1892594,46189.6289117,30331.6557082,16605.0
